job title,hiring organization,date posted,valid through,sector,job location,experience required,education requirement,type of contract,available posts
Customer Support Agent,Yassir ,2025-01-11 11:53:34.000,2025-02-02 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],"['1 À 2 Ans', '3 À 5 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3', 'Bac + 2']",CDD Ou Mission,10
Juriste contentieux,Yassir ,2025-01-11 11:52:33.000,2025-02-15 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI | CDD Ou Mission,1
ASSISTANTE PDG,Entreprise anonyme,2025-01-11 11:19:44.403,2025-03-12 23:59:59.000,"Distribution, Commerce",['Alger'],"['1 À 2 Ans', '3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDD Ou Mission,1
Chargé des Finances,Entreprise anonyme,2025-01-11 11:13:34.907,2025-03-12 23:59:59.000,"Distribution, Commerce",['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDD Ou Mission,1
Chargé (e) de Procurement,Entreprise anonyme,2025-01-11 11:04:35.420,2025-03-12 23:59:59.000,"Distribution, Commerce",['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDD Ou Mission,1
ingénieur iT Senior,Entreprise anonyme,2025-01-11 10:08:29.000,2025-03-10 23:59:59.000,"Distribution, Commerce",['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDD Ou Mission,1
Agent Technique / Technicien Helpdesk IT,Institution Etatique,2025-01-10 11:32:28.000,2025-02-16 23:59:59.000,"Fonction Publique, Administration",['Alger'],"['1 À 2 Ans', '3 À 5 Ans', '6 À 10 Ans']",['Bac + 2'],CDI,1
Ingénieur IT / Administrateur Réseau,Institution Etatique,2025-01-10 11:32:06.000,2025-03-10 23:59:59.000,"Fonction Publique, Administration",['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4']",CDI,1
Responsable administrative,Digital I.A,2025-01-09 18:16:04.000,2025-03-09 23:59:59.000,Services,['Alger'],"['Moins D’un An', '1 À 2 Ans']",['Formation Professionnelle'],None spécifiée,1
Ingénieur en bureau d'étude,Digital I.A,2025-01-09 18:15:58.000,2025-02-28 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",None spécifiée,1
Accounting Manager,Hamoud Boualem,2025-01-09 17:41:07.669,2025-03-10 23:59:59.000,Industries,['Alger'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
responsable des achats,Mercure Alger Palais des Congrès - Ain Benian,2025-01-09 16:40:38.869,2025-03-10 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],"['Bac + 4', 'Bac + 3']",CDD Ou Mission,1
Superviseur HSE,DIFEX SPA,2025-01-09 16:39:52.532,2025-03-10 23:59:59.000,"Distribution, Commerce",['Alger'],['1 À 2 Ans'],"['Bac + 3', 'Bac + 2']",CDI,1
Juriste,Algerian Investment Fund,2025-01-09 16:39:18.125,2025-03-10 23:59:59.000,"Banque, Assurance, Finance",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Contrôleur de Gestion,Entreprise anonyme,2025-01-09 16:38:56.583,2025-03-10 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Ingénier En Mecanique HVAC Senior,Entreprise anonyme,2025-01-09 16:37:23.338,2025-03-10 16:37:23.282,Services,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,2
Key Account Manager,Iris Studio,2025-01-09 16:23:52.630,2025-03-10 23:59:59.000,Services,"['Alger', 'Constantine', 'Oran']",['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,3
Ingénieur Safety Process,Entreprise anonyme,2025-01-09 15:35:06.067,2025-03-10 23:59:59.000,"Energie, Mines, Matière Première",['Alger'],"['Moins D’un An', '1 À 2 Ans', '3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4']",CDD Ou Mission,3
Ingénieur Infrastructure,Entreprise anonyme,2025-01-09 15:29:58.529,2025-03-10 23:59:59.000,"Energie, Mines, Matière Première",['Alger'],"['1 À 2 Ans', '3 À 5 Ans', '6 À 10 Ans', 'Plus de 10 Ans']","['Bac + 5', 'Bac + 7', 'Bac + 4']",CDD Ou Mission,2
Ingénieur Système,Entreprise anonyme,2025-01-09 15:29:04.684,2025-03-10 23:59:59.000,"Energie, Mines, Matière Première",['Alger'],"['1 À 2 Ans', '3 À 5 Ans', '6 À 10 Ans', 'Plus de 10 Ans']","['Bac + 5', 'Bac + 7', 'Bac + 4']",CDD Ou Mission,2
Contrôleur de Gestion et de recouvrement,Importante entreprise,2025-01-09 15:24:13.555,2025-03-10 23:59:59.000,Services,['Alger'],['1 À 2 Ans'],None spécifiée,CDD Ou Mission,1
Contrôleur Comptable (H/F),Natixis Algérie,2025-01-09 15:23:53.505,2025-03-10 23:59:59.000,"Banque, Assurance, Finance",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Community Manager,Entreprise anonyme,2025-01-09 15:17:40.273,2025-03-10 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],['Formation Professionnelle'],CDD Ou Mission,1
Chargé relation client,Entreprise anonyme,2025-01-09 15:03:45.895,2025-03-10 23:59:59.000,Services,['Alger'],['Moins D’un An'],['Bac + 4'],CDD Ou Mission,2
Commercial / Démarcheur,Avalon Labs,2025-01-09 15:03:34.370,2025-03-10 15:03:34.312,"Informatique, Télécom, Internet",['Alger'],"['3 À 5 Ans', '6 À 10 Ans', 'Plus de 10 Ans']","['Bac + 5', 'Certification', 'Formation Professionnelle', 'Bac + 4', 'Bac + 3']",CDI,1
Sales Force Effectiveness Manager,Pharmalliance,2025-01-09 15:02:45.734,2025-03-10 23:59:59.000,Industries,['Alger'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 7', 'Bac + 4']",CDI,1
Délégué Etablissement des Actes de Garantie,Fransabank,2025-01-09 15:02:32.097,2025-03-10 23:59:59.000,"Banque, Assurance, Finance",['Alger'],"['Sans Expérience', 'Moins D’un An']",['Bac + 3'],CDI,2
Chef de Département Validation,Fransabank,2025-01-09 15:00:21.782,2025-03-10 23:59:59.000,"Banque, Assurance, Finance",['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 4', 'Bac + 3']",CDI,1
Développeur App React Native,Avalon Labs,2025-01-09 14:59:16.370,2025-03-10 14:59:16.303,"Informatique, Télécom, Internet",['Alger'],"['3 À 5 Ans', '6 À 10 Ans', 'Plus de 10 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Délégué Principal Etablissement et validation des actes et Garantie,Fransabank,2025-01-09 14:58:59.718,2025-03-10 23:59:59.000,"Banque, Assurance, Finance",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Financier,Entreprise anonyme,2025-01-09 14:57:15.400,2025-03-10 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],['Bac + 4'],CDI,1
Infographe,eurl niall cosmetique,2025-01-09 14:44:15.105,2025-02-23 13:54:09.625,Industries,['Alger'],['1 À 2 Ans'],['Bac + 2'],CDD Ou Mission,1
Conseiller juridique,Comité International de la Croix Rouge ( CICR ICRC ),2025-01-09 14:40:38.832,2025-01-26 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",None spécifiée,1
Correspondant Social,Entreprise anonyme,2025-01-09 14:39:40.881,2025-03-09 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],['Bac + 2'],CDD Ou Mission,1
Comptable sénior,KR Distrimed,2025-01-09 14:30:01.000,2025-01-12 23:59:59.000,"Distribution, Commerce",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Gestionnaire des Ressources Humaines,Importante entreprise,2025-01-09 14:23:49.733,2025-03-10 23:59:59.000,Industries,['Alger'],"['1 À 2 Ans', '3 À 5 Ans']",['Bac + 2'],CDD Ou Mission,2
Agent Administratif Et Comptabilité,Diqa Agency,2025-01-09 14:18:45.870,2025-03-10 14:18:45.825,Services,['Alger'],"['1 À 2 Ans', '3 À 5 Ans', '6 À 10 Ans', 'Plus de 10 Ans']","['Bac', 'Bac + 3', 'Bac + 2']",CDI,1
Pharmacien Chargé des Affaires réglementaires,Alfacare,2025-01-09 14:17:42.160,2025-03-10 23:59:59.000,Industries,"['Batna', 'Alger']",['3 À 5 Ans'],['Bac + 7'],CDD Ou Mission,2
Gestionnaire de paie,Entreprise anonyme,2025-01-09 14:17:15.606,2025-03-10 23:59:59.000,Industries,['Alger'],"['1 À 2 Ans', '3 À 5 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDD Ou Mission,2
Ingénieur (e) Système d'Information et Web,Entreprise anonyme,2025-01-09 14:16:40.780,2025-02-27 23:59:59.000,"Energie, Mines, Matière Première",['Alger'],['Sans Expérience'],"['Bac + 5', 'Bac + 4']",CDI,3
DIRECTEUR COMMERCIAL,Torex,2025-01-09 14:07:15.000,2025-02-28 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
TECHNICIEN SUPÉRIEUR EN MAINTENANCE INDUSTRIELLE,Torex,2025-01-09 14:07:14.000,2025-02-28 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],['Bac + 2'],CDI,1
RESPONSABLE TECHNIQUE,Torex,2025-01-09 14:07:12.000,2025-02-28 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
CONDUCTEUR ROTATIF,SARL AGN,2025-01-09 14:03:32.388,2025-03-10 14:03:32.327,Industries,['Sétif'],"['1 À 2 Ans', '3 À 5 Ans']",['Certification'],CDI,1
Assistant(e),sarl ami bill,2025-01-09 13:56:49.164,2025-03-10 13:56:49.127,Industries,['Blida'],['Moins D’un An'],['Bac + 4'],CDD Ou Mission,1
Opératrice de ligne de conditionnement industrielle,Belleza Corporation,2025-01-09 13:46:58.960,2025-03-10 13:46:58.916,"Distribution, Commerce",['Alger'],"['Sans Expérience', 'Moins D’un An', '1 À 2 Ans']","['Bac', 'Bac + 2']",CDI,1
Inspection Engineer,Entreprise anonyme,2025-01-09 13:46:04.341,2025-03-10 13:46:04.272,Services,['Ouargla'],['3 À 5 Ans'],['Bac + 4'],CDD Ou Mission,1
Responsible des Resources Humanises CDD de (04) mois,Importante entreprise pharmaceutique,2025-01-09 13:42:38.371,2025-03-10 23:59:59.000,Industries,['Alger'],['6 À 10 Ans'],['Formation Professionnelle'],CDD Ou Mission,1
Stagiaire en entrepreneuriat et innovation,Giz,2025-01-09 13:40:37.796,2025-03-10 23:59:59.000,Services,['Alger'],['Sans Expérience'],['Bac + 3'],None spécifiée,1
Chargé de Formation,Entreprise anonyme,2025-01-09 13:26:11.248,2025-03-10 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],"['Formation Professionnelle', 'Bac + 3', 'Bac + 2']",CDD Ou Mission,1
AGENT DE SECURITE,Entreprise anonyme,2025-01-09 13:24:58.867,2025-03-10 23:59:59.000,"Distribution, Commerce",['Béjaïa'],['3 À 5 Ans'],['Niveau Terminal'],CDD Ou Mission,1
Agent(e) Commercial(e),TNR TOURS,2025-01-09 13:20:00.033,2025-03-10 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],None spécifiée,None spécifiée,1
HR Généraliste  (H/F),Cma Cgm,2025-01-09 13:13:27.408,2025-03-10 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Chargé des Approvisionnements,EL GHAZOU EURL,2025-01-09 13:13:25.630,2025-03-10 23:59:59.000,Industries,"['Alger', 'Boumerdès']","['1 À 2 Ans', '3 À 5 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDD Ou Mission,1
Infographe,Laboratoire Venus (sapeco),2025-01-09 13:09:56.999,2025-03-10 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Directeur Marketing,Laboratoire Venus (sapeco),2025-01-09 13:09:02.602,2025-03-10 23:59:59.000,Industries,['Alger'],['6 À 10 Ans'],['Bac + 4'],CDI,1
Assistant (e) Marketing,Laboratoire Venus (sapeco),2025-01-09 13:08:16.152,2025-03-10 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],['Bac + 4'],CDI,1
Assistant (e) en Communication,Laboratoire Venus (sapeco),2025-01-09 13:07:30.853,2025-03-10 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],['Bac + 4'],CDI,1
Brand Specialist,Natixis Algérie,2025-01-09 12:14:31.514,2025-03-10 23:59:59.000,"Banque, Assurance, Finance",['Alger'],"['3 À 5 Ans', '6 À 10 Ans']",['Bac + 4'],CDI,1
RESPONSABLE COMMERCIAL (LOGISTIC ),Diam Grain ,2025-01-09 10:44:19.884,2025-01-20 23:59:59.000,"Distribution, Commerce",['Alger'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Chargé des Contrats,Entreprise anonyme,2025-01-09 10:39:13.220,2025-03-10 23:59:59.000,Industries,['Alger'],"['1 À 2 Ans', '3 À 5 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDD Ou Mission,3
Chargé de recrutement,Entreprise anonyme,2025-01-09 10:38:41.571,2025-03-10 23:59:59.000,Industries,['Alger'],['1 À 2 Ans'],['Bac + 2'],CDD Ou Mission,1
Machiniste,HalKorb-RH,2025-01-09 10:35:49.841,2025-03-06 23:59:59.000,Services,['Alger'],['1 À 2 Ans'],['Formation Professionnelle'],CDD Ou Mission,4
Contrôleur Qualité (CDD),Hamoud Boualem,2025-01-09 10:15:34.337,2025-03-10 23:59:59.000,Industries,['Oran'],['1 À 2 Ans'],['Bac + 2'],CDD Ou Mission,2
Conseiller Clientèle de Particuliers / Agence Ghardaia,Gulf Bank Algérie (AGB),2025-01-09 10:04:27.932,2025-02-24 23:59:59.000,"Banque, Assurance, Finance",['Ghardaïa'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,2
Promoteur,Entreprise anonyme,2025-01-09 10:03:57.387,2025-03-10 23:59:59.000,Services,['Tiaret'],['1 À 2 Ans'],['Bac'],CDD Ou Mission,4
Promoteur,Entreprise anonyme,2025-01-09 10:03:29.007,2025-03-10 23:59:59.000,Services,['Saïda'],['1 À 2 Ans'],['Bac'],CDD Ou Mission,4
Promoteur,Entreprise anonyme,2025-01-09 10:02:59.406,2025-03-10 23:59:59.000,Services,['Relizane'],['1 À 2 Ans'],['Bac'],CDD Ou Mission,4
Technicien maintenance,SGT ALGERIE SPA,2025-01-09 09:55:05.000,2025-02-13 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],['Bac + 3'],CDI,1
Gestionnaire des sinistres,Importante entreprise,2025-01-09 09:54:41.000,2025-02-27 23:59:59.000,"Banque, Assurance, Finance",['Alger'],['3 À 5 Ans'],['Bac + 3'],CDD Ou Mission,3
Assistant(e) marketing,Pansy beauty ,2025-01-09 09:51:55.000,2025-02-13 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],['Formation Professionnelle'],CDI,1
Créatrice de contenu,Pansy beauty ,2025-01-09 09:51:50.000,2025-02-13 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Commercial(e),CLARVIA ACADEMY,2025-01-09 09:49:29.000,2025-03-06 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Régional Réseau de distribution EST,AXA Assurance Algérie,2025-01-09 09:46:13.881,2025-03-07 23:59:59.000,"Banque, Assurance, Finance",['Constantine'],['6 À 10 Ans'],"['Bac + 4', 'Bac + 3']",CDI,1
Chef de Service Gestion des Stocks,Ifri,2025-01-09 09:23:17.000,2025-03-07 23:59:59.000,Industries,['Béjaïa'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",None spécifiée,1
Gestionnaire Ressources Humaines,Ifri,2025-01-09 09:23:16.000,2025-03-06 23:59:59.000,Industries,['Béjaïa'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDD Ou Mission,1
Automaticien,Ifri,2025-01-09 09:23:13.000,2025-03-01 23:59:59.000,Industries,['Béjaïa'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Directeur juridique,Ifri,2025-01-09 09:23:12.000,2025-02-27 23:59:59.000,Industries,['Béjaïa'],['3 À 5 Ans'],['Bac + 4'],CDI,1
Acheteur,Ifri,2025-01-09 09:23:10.000,2025-02-23 23:59:59.000,Industries,['Béjaïa'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Junior Brand Manager,Ifri,2025-01-09 09:23:09.000,2025-02-23 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",None spécifiée,1
Conseiller Clientèle de Particuliers / Agence Biskra,Gulf Bank Algérie (AGB),2025-01-09 09:22:42.843,2025-03-10 23:59:59.000,"Banque, Assurance, Finance",['Biskra'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Contrôleur matériel,AE2I Algérie ,2025-01-09 09:18:07.753,2025-03-10 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Formation Professionnelle', 'Bac + 2', 'Bac + 4', 'Bac + 3']",CDD Ou Mission,1
Chargé de rapprochement,AE2I Algérie ,2025-01-09 09:13:56.821,2025-03-10 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3', 'Formation Professionnelle']",CDD Ou Mission,1
Chauffeur,AE2I Algérie ,2025-01-09 09:11:37.208,2025-03-10 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],['Niveau Secondaire'],CDD Ou Mission,2
LIAD ORAN : Professeur des lettres modernes (H/F) rentrée 2024,Liad,2025-01-09 09:08:59.948,2025-03-10 23:59:59.000,Services,['Oran'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",None spécifiée,1
Acheteur Senior IP,CEVITAL Agro-Industrie,2025-01-09 09:08:05.114,2025-03-09 23:59:59.000,Industries,['Béjaïa'],['3 À 5 Ans'],"['Bac + 4', 'Bac + 3']",CDI,2
Approvisionneur Senior,CEVITAL Agro-Industrie,2025-01-09 09:06:55.438,2025-03-09 23:59:59.000,Industries,['Béjaïa'],['3 À 5 Ans'],"['Bac + 4', 'Bac + 3']",CDI,2
Assistant Commercial (H/F) Oran,Maghreb Leasing Algérie,2025-01-09 09:02:37.987,2025-03-10 23:59:59.000,"Banque, Assurance, Finance",['Oran'],['1 À 2 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Ingénieur Infrastructure Informatique,GAM Assurances,2025-01-09 08:49:17.275,2025-03-10 23:59:59.000,"Banque, Assurance, Finance",['Alger'],"['1 À 2 Ans', '3 À 5 Ans']","['Bac + 5', 'Bac + 4']",CDI,1
Responsable Production & Tech Transfert,HYDRA PHARM,2025-01-09 08:45:17.203,2025-03-10 23:59:59.000,"Distribution, Commerce",['Oran'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Maintenancier Industriel en Mécanique,CEVITAL Agro-Industrie,2025-01-09 08:41:47.107,2025-03-10 23:59:59.000,Industries,['Béjaïa'],['3 À 5 Ans'],['Bac + 5'],CDI,1
Maintenancier Industriel en Automatisme,CEVITAL Agro-Industrie,2025-01-09 08:35:20.864,2025-03-09 23:59:59.000,Industries,['Béjaïa'],['1 À 2 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,2
Superviseur process,CEVITAL Agro-Industrie,2025-01-09 08:35:13.580,2025-03-09 23:59:59.000,Industries,['Béjaïa'],"['1 À 2 Ans', '3 À 5 Ans']","['Bac + 5', 'Bac + 4']",CDI,2
Conseiller (ère) commercial (e),GAM Assurances,2025-01-09 08:29:30.102,2025-03-10 23:59:59.000,"Banque, Assurance, Finance",['Sidi Bel Abbès'],['3 À 5 Ans'],['Bac + 3'],CDD Ou Mission,1
Responsable Technique et Process,Importante entreprise,2025-01-09 08:28:33.423,2025-03-10 23:59:59.000,Industries,['Alger'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Chef d'agence,GAM Assurances,2025-01-09 08:27:29.736,2025-03-10 23:59:59.000,"Banque, Assurance, Finance",['Tébessa'],['3 À 5 Ans'],"['Bac + 3', 'Bac + 2']",CDI | CDD Ou Mission,1
Chef d'agence,GAM Assurances,2025-01-09 08:25:50.330,2025-03-10 23:59:59.000,"Banque, Assurance, Finance",['Oran'],['3 À 5 Ans'],"['Bac + 3', 'Bac + 2']",CDI | CDD Ou Mission,1
Conseiller (ère) commercial (e),GAM Assurances,2025-01-09 08:22:02.323,2025-03-10 23:59:59.000,"Banque, Assurance, Finance",['Oran'],['3 À 5 Ans'],['Bac + 3'],CDD Ou Mission,1
storekeeper,ARVEA NATURE ALGERIE,2025-01-09 08:17:48.918,2025-03-10 23:59:59.000,"Distribution, Commerce",['Alger'],['Sans Expérience'],['Niveau Secondaire'],CDI,1
chargé de la Facturation et du Recouvrement, Clinique Al Azhar ,2025-01-09 08:05:38.405,2025-03-10 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",None spécifiée,1
CADRE COMMERCIAL, Clinique Al Azhar ,2025-01-09 08:00:55.550,2025-03-10 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",None spécifiée,1
Commercial,KR Distrimed,2025-01-09 07:51:34.000,2025-01-17 23:59:59.000,"Distribution, Commerce",['Alger'],['3 À 5 Ans'],['Bac + 3'],CDI,5
Chef de sécurité ( Gardiennage ),Entreprise anonyme,2025-01-09 06:41:34.000,2025-01-18 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],['Bac + 3'],CDD Ou Mission,1
Chargé de la prospections et des ventes commercial,Importante entreprise,2025-01-08 22:14:23.000,2025-03-01 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],None spécifiée,None spécifiée,1
Chargé des Opérations,GoDyma,2025-01-08 19:02:00.798,2025-03-09 23:59:59.000,Services,['Aïn Témouchent'],['1 À 2 Ans'],['Bac + 3'],CDD Ou Mission,2
correspondant,Entreprise anonyme,2025-01-08 15:52:26.780,2025-03-09 23:59:59.000,"Distribution, Commerce",['Alger'],['3 À 5 Ans'],['Bac + 3'],CDD Ou Mission,1
INGENIEUR EN TELECOMMUNICATION,SARL SASCC,2025-01-08 15:50:14.228,2025-03-09 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],['1 À 2 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Médecin,Importante entreprise,2025-01-08 15:39:43.147,2025-03-09 23:59:59.000,Services,['Ouargla'],['3 À 5 Ans'],['Bac + 7'],None spécifiée,1
technicien superieur topographe (1),Importante entreprise,2025-01-08 15:38:16.060,2025-03-09 23:59:59.000,Services,['Ouargla'],['Plus de 10 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",None spécifiée,1
GRH, EURL CMF Algérie,2025-01-08 15:27:56.000,2025-03-09 23:59:59.000,Services,['Tipaza'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",None spécifiée,1
Directeur d'Agence / Ouargla,Gulf Bank Algérie (AGB),2025-01-08 14:51:16.383,2025-03-09 23:59:59.000,"Banque, Assurance, Finance",['Ouargla'],['Plus de 10 Ans'],"['Bac + 5', 'Niveau universitaire', 'Bac + 3', 'Diplôme']",CDI,1
Gestionnaire de Clientèle Particuliers & Professionnels (H/F),Natixis Algérie,2025-01-08 14:49:10.642,2025-03-09 23:59:59.000,"Banque, Assurance, Finance",['Alger'],"['1 À 2 Ans', '3 À 5 Ans']","['Bac + 5', 'Bac + 4']",CDI,1
Assistante commerciale,Importante entreprise,2025-01-08 14:45:43.177,2025-03-07 23:59:59.000,"Energie, Mines, Matière Première",['Alger'],"['1 À 2 Ans', '3 À 5 Ans', '6 À 10 Ans', 'Plus de 10 Ans']","['Bac + 5', 'Bac + 7', 'Bac + 2', 'Bac + 4', 'Bac + 3']",CDD Ou Mission,1
Pharmacien(ne) Assistant(e),Entreprise anonyme,2025-01-08 14:39:57.531,2025-03-09 23:59:59.000,"Distribution, Commerce",['Alger'],"['Sans Expérience', 'Moins D’un An']",['Bac + 7'],CDD Ou Mission,1
